slope,distance_to_water,soil_suitability,suitable
4.65,1533.19,5,1
5.27,3049.92,6,1
7.19,1156.14,5,1
6.29,1662.61,7,1
24.13,2471.41,1,0
26.45,1761.98,5,0
1.84,523.48,5,1
10.84,2092.91,3,0
17.32,2501.52,8,1
5.04,581.91,6,1
6.28,2416.94,2,1
3.36,290.02,6,1
9.12,1260.43,6,1
3.49,1295.75,3,1
4.16,1241.63,7,1
9.82,1315.84,3,0
15.66,677.9,6,1
15.99,2093.83,9,1
6.96,1081.67,10,1
4.58,1092.24,3,1
8.2,1829.09,5,1
9.85,707.99,7,1
2.85,2932.92,5,1
11.29,169.98,2,0
9.56,1948.24,9,1
5.77,1520.7,5,1
11.64,1678.9,6,1
8.08,1443.02,7,1
8.95,1577.42,10,1
22.92,309.23,7,1
27.11,470.32,6,1
19.6,455.02,6,1
6.98,1899.01,6,1
5.04,5000,1,0
17.08,1992.71,5,1
9.56,648.23,8,1
12.03,3364.66,8,1
6.12,839.95,2,1
4.07,1996.54,2,1
9.18,2534.91,7,1
9.15,464.82,5,1
19.57,1215.81,6,1
4.46,698.52,5,1
9.42,1542.26,4,1
11.92,1600.82,8,1
3.82,623.27,4,1
25.73,1763.22,5,1
18.07,760.29,8,1
6.05,3291.55,5,1
24.65,1477.15,2,0
6.17,167.22,7,1
13.44,1468.08,3,0
25.67,1353.47,6,1
24.33,347.59,6,0
11.54,1781.56,8,1
12.09,612.38,4,1
11.62,379.07,5,1
20.54,623.04,2,0
14.6,905.73,10,1
6.58,3228.09,5,1
8.45,3134.04,4,1
7.67,4036.25,6,0
10.98,1003.55,6,1
15.74,1715.86,2,1
23.48,382.47,9,1
9.6,3777.63,7,1
8.97,1867.59,9,1
5.36,955.21,3,1
19.09,4293.14,4,0
24.01,1339.14,3,1
9.65,1856.84,9,1
19.1,1869.81,7,1
7.76,1612.42,7,1
5.86,2234.62,5,1
13.07,620.2,8,1
10.11,789.11,7,1
4.41,5000,3,1
32.85,295.84,2,0
15.05,3522.91,3,0
24.6,553.24,2,1
25.25,188.42,5,1
12.43,362.06,7,1
2.09,1703.04,7,1
11.84,2257.28,6,1
2.87,117.52,7,1
15.37,628.02,10,1
20.13,5000,4,0
23.15,1798.2,4,1
5.3,2511.08,8,1
8.06,1554.23,6,1
14.2,600.49,6,1
9.19,371.23,7,1
19.04,1241,4,1
4.57,256.16,8,1
14.36,4303,5,1
22.08,1131.38,10,1
8.38,1646.73,4,0
13.38,969.6,7,1
8.78,1947.31,7,1
16.75,2146.33,4,1
2.91,124.38,3,1
12.16,995.88,6,1
7.38,491.33,3,1
20.82,1069.76,6,1
20.91,769.43,6,1
3.87,1645.33,5,1
12.33,142.33,9,1
11.75,871.28,6,1
14.82,1844.27,1,0
9.22,2264.93,3,0
26.86,575,3,0
23.6,1500.88,5,1
14.46,326.56,1,0
8.24,4544.07,5,1
14.58,3757.71,4,0
16.31,2453.75,5,1
19.23,250.67,5,1
18.74,161.83,7,1
17.04,1438.71,6,1
15.28,2527.42,5,1
14.94,1040.14,6,1
3.72,3417.18,5,1
3.32,311.08,5,1
12.34,370.8,2,1
9.78,1137.56,7,1
2.28,661.8,5,1
10.32,800.29,2,0
24.46,3075.78,7,1
7.52,1847.97,5,0
9.64,1354.69,10,1
4.29,2569.14,5,1
10.98,1440.06,4,1
8.05,1524.83,4,1
9.79,1126.26,4,0
25.61,1027.65,10,1
13.01,1414.66,8,1
5.1,736.85,8,1
11.02,1051.01,3,1
13.6,2867.92,7,0
20.28,485.03,5,1
18.31,466.8,6,0
17,1994.88,6,1
3.67,2418.65,5,1
2.34,3030.89,4,0
23.11,450.03,5,1
22.82,481.65,2,1
11.18,115.25,4,1
21.29,3225.05,4,0
14.44,2439.47,6,1
26.05,1025.05,6,0
17.19,663.14,6,1
13.69,646.23,6,1
5.11,755.92,6,1
13.41,372.93,5,1
18.14,725.99,5,1
16.5,1319.53,6,1
17.66,580.79,3,1
18.61,819,6,1
11.1,2301.54,2,0
9.51,1689.8,6,1
18.66,589.61,6,1
21.89,1876.95,7,1
18.18,1607.05,2,0
11.95,1219.98,9,1
9.4,1568.17,4,1
14.17,531.77,4,1
1.43,1282.25,6,1
4.82,543.42,7,1
16.31,2621.35,4,1
0.92,302.2,6,1
22.12,106.03,7,1
15.56,4111.89,5,1
34.94,1641.11,5,0
9.39,241.29,5,1
15.98,1758.65,1,0
5.81,2227.83,6,1
13.11,705.61,10,1
7.55,881.82,7,1
19.4,460.21,1,1
10.82,579.5,2,1
17.47,913.19,4,1
6.45,1212.69,9,1
14.89,3223.34,4,1
8.13,2283.81,7,1
16.56,1342.87,5,1
27.48,649.24,9,1
21.61,223.41,7,1
28.81,2235.64,6,0
13.48,1091.35,7,1
8.73,1459.7,8,1
6.35,2739.4,3,0
11.01,1100.81,8,1
25.93,2988.07,5,0
12.37,1872.59,5,1
9.74,1026.55,4,1
25.12,700.27,6,1
3.55,2105.96,3,1
6.51,843.18,1,1
1.84,409.36,8,1
17.57,3546.25,2,0
27.73,1838.52,7,1
7.78,1515.77,7,1
3.97,2476.48,3,0
27.61,549.11,8,1
16.39,493.5,6,1
14.97,287.69,4,1
6.1,1049.34,3,1
15.96,959.49,5,1
22.45,996.61,3,1
20.73,3196.06,2,0
13.54,402.52,1,0
9.55,2580.69,9,1
18.62,3500.42,6,1
10.11,2194.49,7,1
26.5,1404.42,6,1
4.9,2538.87,4,0
8.7,2024.5,4,1
11.79,2049.73,7,1
14.59,229.26,7,1
24.39,1902.9,5,0
6.24,293.28,8,1
2.03,621.68,5,1
15.67,4472.96,5,0
6.55,4278.53,6,1
4.9,1200.44,3,1
13.42,2010.23,1,1
6.59,1580.33,9,1
24.19,1332.98,2,0
13.92,1379.45,4,0
16.63,1019.47,4,1
25.71,801.87,7,1
5.9,3587.14,6,1
19.32,2852.14,2,0
26.4,1214.98,5,1
19.11,1701.53,6,1
2.02,881.67,3,1
4.4,144.42,6,1
6.41,690.19,7,1
17.01,1169.75,6,1
17.97,223.87,5,1
14.45,3194.66,9,1
6.45,1241.96,2,0
8.36,336.42,4,1
2.39,1205.42,6,0
15.96,966.94,8,1
7.09,3891.06,5,0
17.68,1168.39,8,1
12.19,1656.27,6,1
12.98,2381.52,8,1
5.56,2269.92,2,0
4.47,1141.22,2,1
14.15,1285.97,6,1
18.75,341.33,7,1
19.24,1331.42,5,0
8.77,2649.37,7,1
20.9,2163.96,5,1
11.84,3405.06,9,1
7.35,2237.16,2,1
13.21,1246,3,1
11.9,1226.67,9,1
15.35,3148.82,4,0
27.49,2976.63,4,0
14.93,2365.6,3,0
11.49,1014.61,7,1
11.15,2976.03,9,1
9.15,928.3,3,0
7.2,3430.67,8,1
4.5,301.15,5,1
21.58,251.41,6,1
4.47,972.87,7,1
6.3,1326.98,1,1
13.22,181.59,4,1
5.59,842.85,4,1
1.98,422.03,5,1
2.43,652.16,5,1
9.36,511.22,5,1
12.45,938.58,4,1
15.68,194.72,5,1
18.27,981.78,7,1
11.04,1184.76,7,1
10.49,304.95,8,1
6.77,1766.01,2,0
17.57,2335.75,1,0
7.83,2788.76,4,0
4.11,1779.28,4,1
13.15,1477.81,7,1
27.28,1805.4,9,1
24.57,765.76,10,1
17.99,3536.2,7,1
10.14,1054.08,5,1
4.32,1010.2,4,1
18.56,3176.53,8,1
8.22,1128.61,2,1
4.7,893.53,9,1
6.09,359.5,5,1
9.48,783.95,3,1
7.31,194.43,1,1
3.47,3044.22,5,0
11.66,1467.06,3,1
31.85,1661.59,4,0
19.98,2912.45,3,0
5.78,806.79,5,1
10.98,1870.35,6,1
18.87,355.32,5,1
16.91,1575.42,2,0
12.34,959.41,7,1
4.98,576.79,8,1
9.18,2093.94,7,1
2.98,589.75,5,1
19.75,1486.9,4,1
3.06,1138.03,1,0
20.08,2323.4,2,0
11.28,3027.71,6,1
27.36,2649.2,6,1
16.86,2420.29,8,1
11.44,1838.88,4,1
2.28,467.58,4,1
28.12,1788.71,6,0
19.89,752.57,7,1
19.54,601.92,3,1
13.28,1732.85,3,0
12.35,1246.95,8,1
3.23,1828.32,9,1
14.21,2845.07,7,1
15.97,2896.04,6,1
13.08,2009.92,8,1
0.9,2889.55,5,1
10.68,868.37,7,1
7.31,1774.14,5,1
5.46,2023.87,5,1
5.28,1433.83,7,1
19.66,669.46,4,1
16.54,1180.33,5,1
18.51,3466.22,6,1
9.49,771.63,4,1
9.13,939.16,7,1
14.01,1446.07,5,1
7.92,189.74,7,1
10.22,3330.68,8,1
16.94,3883.01,7,1
22.38,976.8,8,1
3.9,798.84,9,1
5.26,101.45,1,0
14.8,490.44,3,0
17.51,574.75,5,1
29.65,2698.97,7,1
16.71,1016.26,5,1
17.46,1206.01,3,1
13.14,955.4,1,0
9.75,1193.14,3,1
30.44,1235.57,5,1
6.34,481.03,1,0
2.75,4888.85,3,0
3.76,1083.28,5,1
6.01,1854.07,2,0
12.28,1598.35,5,1
13.68,2875.86,8,1
20.74,4124.45,2,0
7.33,2871.25,6,1
9.62,1963.41,6,1
17.88,1262.64,1,0
12.03,1530.92,4,0
10.49,1300.45,3,1
26.97,1065.02,9,1
3.19,2120.54,5,1
25.95,823.4,8,1
9.72,379.56,6,1
9.32,807.98,1,0
5.43,1818.32,3,1
8.54,1081.18,5,1
14.36,1644.28,7,1
4.07,292.83,3,1
10.95,1892.52,5,1
13.13,2535.59,5,1
15.17,3355.62,7,0
20.44,421.75,4,1
14.6,594,7,1
6.42,302.15,2,1
20.33,1120.16,7,1
16.42,3267.4,3,0
7.6,1004.65,5,1
11.95,2200.62,7,1
20.28,1957.19,5,1
2.56,2512.36,4,1
20.33,2054.17,6,1
14.28,1372.19,5,0
11.12,1623.41,5,1
10.42,4549.56,7,1
15.12,1023.09,6,1
4.59,1970.89,4,1
16.89,2168.06,4,0
32.8,822.6,4,1
15.22,2130.54,3,0
13.52,780.14,9,1
4.21,4253.77,7,1
0.75,1089.87,4,1
10.75,1643.24,6,1
8.99,339.34,9,1
16.91,1852.15,5,1
4.26,313.12,6,1
15.22,691.19,7,1
4.26,742.09,4,1
11.6,105.42,2,1
8.43,124.55,5,1
3.42,2738.87,4,1
13.18,233.57,5,1
1.84,2702.67,4,1
13.63,1676.99,9,1
27.64,3873.81,4,0
14.04,1368.75,8,1
6.07,1728.92,3,1
4.76,2118.55,6,1
10.41,1577.09,10,1
15.71,2617.19,6,1
14.88,1353.99,6,1
20.56,1074.33,5,1
18.74,314.92,3,0
4.81,1914.86,9,1
2.82,3151.87,6,1
7.24,2983.97,8,1
23.12,1084.49,6,1
27.61,1807.09,3,0
10.95,825.53,8,1
11.13,168.48,9,1
23.5,1257.13,5,1
15.83,1976.27,9,1
10.96,1817.65,6,1
13.64,959.71,6,1
9.85,3565.55,7,1
10.95,2609.43,9,1
9.57,940.37,8,1
22.53,5000,7,1
7.68,1071.01,6,1
12.92,738.26,5,1
5.37,1029.1,5,1
4.94,757.59,3,1
14.44,1513.85,8,1
20.87,1166.27,9,1
8.37,1152.17,3,0
10.04,5000,5,0
5.81,1617.11,7,1
12.72,1920.47,5,1
14.41,831.84,4,0
14.87,1466.65,6,1
24.78,2034.61,9,1
2.89,893.64,6,1
16.19,428.25,3,1
13.12,1898.53,4,1
8.37,653.19,6,1
7.38,426.26,8,1
37.57,1030.18,1,0
10.97,1176.51,6,1
10.32,824.22,3,1
19.99,960.94,6,1
11.56,370.31,7,1
17.45,2171.99,7,1
11.82,3193.8,1,1
4.49,2072.49,5,1
17.27,749.28,8,1
6.44,227.86,5,1
16.36,1699.41,7,1
26.45,2551.64,4,1
17.42,2227.78,8,1
25.72,1367.5,6,0
12.23,336.67,7,1
6.99,2048.27,2,0
1.23,2167.19,4,0
18.06,612.25,7,1
4.41,1164.37,8,1
21.8,182.44,7,1
7.18,763.99,9,1
16.67,779.54,5,1
16.13,2739.98,2,0
13.88,1080.27,4,1
15.45,957.51,7,1
21.78,1165.65,3,0
7.85,1038.26,4,1
24.81,2561.94,10,1
25.04,1310.3,7,1
11.13,488.72,9,1
9.61,1727.67,5,1
7.98,413.29,8,1
13.97,1863.26,7,1
19.93,1073.29,5,1
15.36,1762.75,10,1
16.52,3104.29,6,1
15.62,980.85,3,0
17.36,1066.19,3,0
9.73,2399.43,9,1
6.45,553.68,8,1
6.06,1194.27,7,1
8.45,559.72,4,1
26.74,184.59,3,1
31.44,896.81,7,1
9.03,1479.36,5,1
16.65,2790.35,8,0
3.38,921.88,5,1
14.94,1699.3,5,0
14.4,907.28,7,1
17.64,1248.91,8,1
5.52,2122.28,8,1
6.72,2270.93,8,1
17.3,1275.58,3,1
31.68,3464.54,2,0
8.84,1341.44,2,0
24.74,833.62,1,0
20.43,1721.79,5,0
9.11,1330.04,6,1
10.17,407.37,6,1
5.65,274.82,3,1
6.86,1054.12,8,1
3.52,621.07,7,1
4.16,1885.86,9,1
12.38,1155.6,6,1
2.57,1948.88,6,1
7.81,2113.08,1,0
19.42,2096.46,1,0
11.64,3751.27,8,1
11.77,2130.39,4,1
6.2,818.6,9,1
12.07,1022.15,9,1
14.26,1254.54,7,1
22.23,1562.03,4,1
19.68,5000,7,0
15.69,751.71,2,0
15.09,1165.05,2,1
10.24,1154.77,4,1
22.33,1821.5,2,0
18.05,1611.5,6,1
19.74,474.95,7,1
8.01,1338.68,8,1
16.34,1583.52,5,0
19.43,522.34,7,1
7.23,4678.7,4,0
18.04,1701.04,1,0
14.13,1458.59,5,0
7.29,202.26,7,1
22.51,2418.21,3,1
17.39,836.73,7,1
16.5,1317.81,1,0
8.32,3225.68,8,1
10.89,818.84,7,1
7.33,606.57,5,1
0.95,2549.56,4,1
12.86,2021.25,2,1
23.65,1828.19,2,0
10.54,3123.05,9,1
16.29,968.73,8,1
9.36,1475.58,6,1
12.67,1523.66,9,1
0.97,1786.82,8,1
17.78,1103.78,3,0
6.42,2272.64,9,1
13.27,983.33,7,1
23.17,2356.63,3,0
30.51,2620.65,7,1
0.33,2181.87,3,1
27.58,5000,5,0
23.14,1815.33,4,0
23.47,1494.16,8,1
25.38,1160.46,7,1
8.42,786.5,3,1
15.87,1794.78,6,1
14.59,1075.92,7,1
7.12,2159.51,8,1
22.73,2158.94,10,1
4.01,866.46,7,1
12.87,186.95,3,1
3.71,903.83,5,1
4.96,1662.71,6,1
14.69,578.2,10,1
12.93,845.56,6,1
19.11,619.42,2,1
7.42,1680.58,7,1
2.67,343.88,3,1
12.37,2086.67,4,1
4.84,2258.1,5,1
11.02,1314.18,7,1
9.85,1102.3,4,1
12.19,2893.72,6,1
12.63,2700.68,8,1
10.47,321.69,5,1
5.06,2043.88,2,0
4.8,715.36,7,1
1.63,2489.73,3,1
7.91,1460.41,4,1
21.65,876.67,1,0
15.49,2995.59,7,1
5.5,772.8,5,1
3.61,1723.51,6,1
5.71,690.93,4,1
27.4,423.57,7,1
7.26,1351.25,9,1
13.55,1552.57,6,1
16.15,1763.92,1,0
26.33,3958.51,8,1
5.27,3123.32,5,1
7.18,662.4,10,1
13.7,1478.88,10,1
9.71,2366.33,5,1
9.71,1922.55,5,1
1.37,3058.41,4,1
5.55,1167.88,5,1
20.61,282.41,3,1
15.67,2074.62,6,1
14.42,3268.86,4,0
24.54,1005.03,4,0
20.83,1399.15,3,0
0.27,2560.39,7,1
12.17,2679.89,5,1
12.78,3044.38,8,1
16.6,1432.84,4,0
10.64,3954.61,7,1
11.19,2011.65,8,1
8.89,966.74,4,1
29.62,689.5,1,0
6.69,1049.53,3,1
15.76,2920.03,1,0
15.64,198.59,5,1
14.16,2419.22,5,0
15,754.75,2,0
4.27,180.49,9,1
12.44,2889.7,8,1
4.77,1712.66,3,1
5.08,2647.94,3,0
6.88,2851.81,5,0
8.14,904.67,1,1
1.12,1620.05,6,1
17.21,703.21,6,1
7.97,1683.24,2,0
10.6,3942.79,5,0
12.43,385.35,6,1
15.22,1604.33,5,0
21.71,3311.71,4,0
10.73,1135.1,8,1
7.7,1794.87,5,1
18.9,1369.08,7,1
17.15,433.13,5,1
12.54,789.56,3,1
3.66,452.9,5,1
2.6,1200.16,9,1
10.53,4573.8,9,1
21.63,2672.54,9,1
10.04,2287.07,8,1
6.34,750.13,7,1
17.65,3055.01,2,0
5.17,1111.53,6,1
26.66,1302.06,4,1
5.98,2489.33,8,1
13.7,678.09,4,1
4.55,1073.52,8,1
15.38,2908.66,6,0
21.08,1485.35,8,1
20.65,193,2,0
28.88,1080.31,4,0
12.2,1699.92,7,1
11.06,427.73,8,1
14.03,774.72,7,1
14.34,2455.03,5,1
14.77,2615.67,7,1
14.95,910.41,4,1
6.23,2693.02,1,0
26.14,1188.01,7,1
3.75,1327.71,1,1
7.47,680.35,5,1
9.08,338.78,9,1
10.63,270.55,1,0
6.23,967.99,8,1
2.56,123.35,5,1
5.9,2233.04,5,1
20.11,2027.17,4,0
29.87,5000,4,0
6.69,1529.25,2,0
13.9,311.93,3,0
7.92,439.04,5,1
7.98,961.51,4,1
1.34,2087.68,7,1
13.01,1912.24,5,1
4.21,1447.98,5,1
7.05,1921.92,2,0
21.15,3901.16,7,1
17.89,1699.52,4,1
6.94,795.47,3,1
16.06,2141.78,5,1
7.2,1023.57,7,1
4.41,2684.19,6,1
37.79,12.24,5,1
22.82,712.16,2,0
5.46,820.25,5,1
12.16,653.4,8,1
6.46,627.5,5,1
5.73,569.87,4,1
8.16,727.66,7,1
5.18,3594.76,9,1
14.87,1202.44,4,0
26.43,4273.86,3,0
2.84,882.93,7,1
4.21,2197.77,7,1
8.07,1877.15,10,1
12.91,817.46,4,1
24.03,411.89,2,1
3.14,2764.58,7,1
9.38,1701.44,1,0
6.5,643.89,5,1
14.23,1714.91,8,1
12.19,667.14,7,1
7.47,970.87,7,1
18,881.33,5,1
17.25,1304.63,5,1
9.72,857.99,6,1
21.86,129.15,7,1
4.35,1541.45,8,1
3.59,524.15,4,1
11.44,2460.41,5,1
17.31,3536.81,5,1
7.27,2722.66,1,0
22.95,1818.62,8,1
4.11,960.38,7,1
27.66,71.72,6,1
5.04,797.15,3,1
4.39,1495.91,6,1
13,1581.64,6,1
16.85,2759.83,1,0
9.85,1425.24,9,1
5.65,378.44,3,1
5.77,1117.12,5,1
8.66,2636.74,4,1
12.95,1136.37,8,1
7.66,4240.29,6,1
23.13,354.68,2,0
3.78,221.61,3,0
16.03,998.2,5,1
4.16,898.99,8,1
14.17,453.31,5,1
19.68,574.56,9,1
26.46,1107.87,6,1
10.86,1421.94,7,1
19.11,722.1,5,1
11.33,875.19,9,1
9.52,1728.97,1,0
24.25,1507.87,5,0
15.09,2702.42,6,1
23.87,347.45,4,1
3.94,425.01,7,1
4.92,864.62,1,1
7.24,2071.26,3,0
1.34,457.22,7,1
6.95,585.54,10,1
6.13,387.92,5,1
10.37,4189.06,4,0
16.84,2228.5,4,1
13.44,289.38,7,1
8.99,200.17,5,1
19.58,2154.49,6,1
6.31,996.99,6,1
20.48,877.73,6,1
17.44,441.3,6,1
5.73,1723.39,10,1
3.9,2794.7,6,1
13.57,1516.3,4,1
6.9,563.97,5,1
11.62,289.82,4,1
21.09,2015.07,9,1
7.7,2003.57,5,1
10.49,1056.52,8,1
4.62,1890.77,5,1
19.28,592.3,7,1
9.74,2129.4,5,0
19.35,246.01,6,1
25.81,1989.94,2,0
3.66,1225.48,4,1
7.74,1025.19,5,1
16.66,554.39,6,1
18.09,1090.96,8,1
21.08,335.5,7,1
17.1,2069.84,6,1
3.94,1455.27,3,1
17.04,609.32,7,1
20.21,1449.82,9,1
4.36,2842.18,5,1
20.65,744.32,1,0
14.18,2990.75,7,1
22.68,977.65,7,1
5.87,188.73,5,1
8.92,1828.66,5,1
8.13,534.04,3,1
22.44,276.13,3,0
8.18,2903.42,5,1
8.54,407.62,4,1
4.08,678.01,7,1
6.9,539.74,2,1
9.42,805.11,3,1
21.92,1126.81,5,1
6.45,1031.6,7,1
6.47,392.68,5,1
4.93,1276.6,5,1
17.68,1349.69,2,0
22.09,1208.31,5,1
4.35,4073.15,8,1
19.04,1894.25,2,0
6.38,2177.21,10,1
16.08,575.01,7,1
7.19,349.21,7,1
4.22,515.81,5,1
13.78,895.97,10,1
4.12,1215.31,6,1
5.45,2479.82,6,1
15.93,4284.85,3,0
2.63,1097.74,5,1
19.07,876.76,6,1
7.01,1808.84,7,1
11.85,1483.84,6,1
6.77,519.77,1,1
11.75,2727.61,5,1
15.97,1617.8,8,1
16.97,589.12,5,1
10.61,1113.99,8,1
14.11,3163.43,8,1
4.11,1027.5,8,1
8.84,1651.02,6,1
15.1,4313.65,8,1
7.58,1037.65,3,1
7.68,1525.98,7,1
16.34,387.72,10,1
22.41,1158.82,4,0
11.26,3856.99,7,1
11.6,1698.45,6,1
1.8,802.4,2,0
15.77,1902.4,5,1
15.32,1629.34,9,1
15.4,2672.8,4,0
14.16,312.02,2,1
11.62,485.09,6,1
6.55,1429.57,4,1
4.43,515.07,4,1
5.64,776.88,6,1
6.35,1188.76,3,1
8.65,381.02,8,1
10.78,2201.26,5,1
4.12,51.64,6,1
8.27,1090.51,5,1
8.75,927.75,5,1
3.87,606.26,4,1
10.97,1614.26,5,1
30.04,5000,7,0
20.05,1173.09,6,1
21.91,2408.76,6,1
10.11,1341.68,6,1
9.73,2225.17,5,1
22.41,3706.1,1,0
28.04,2274.9,9,1
11.72,3574.9,10,1
13.02,1386.58,3,1
24.11,1112.92,7,1
11.78,1159.07,5,1
13.64,967.03,10,1
6.03,159.15,9,1
12.23,422.2,5,1
13.06,4024.24,6,0
21.92,667.75,8,1
10.71,282.12,4,1
22.61,2955.24,5,0
9.37,1698.76,5,1
5.1,1299.09,4,1
15.88,1343.65,6,1
17.37,723.69,8,1
10.66,856.29,6,1
13.81,3751.4,2,0
27.86,3009.23,5,1
20.65,1220.8,8,1
8.04,1652.56,3,0
18.52,1270.39,8,1
20.79,1858.19,6,1
22.37,1742.05,4,0
5.62,1710.47,5,1
14.3,636.17,2,1
11.87,163.78,5,1
9.49,1094.93,2,0
6.25,597.65,5,1
17.83,1641.26,4,0
19.65,994.45,7,1
3.55,1857.53,7,1
24.23,1443.39,9,1
19.75,878.67,8,1
17.07,247.45,8,1
8.07,1519.29,6,1
8.7,3714.41,6,1
4.59,1490.04,7,1
25.01,362.64,5,1
8.35,2170.04,7,1
3.74,449.59,6,1
11.8,2280.86,3,1
24.6,1214.25,2,0
6.92,2177.51,6,1
16.24,1302.47,1,0
21.19,1010.99,8,1
7.28,3803.55,8,1
13.94,555.15,3,1
12.27,2629.12,7,1
20.3,574.88,4,0
12.67,1820.93,5,1
29.4,130.51,5,1
10.85,824.4,2,1
10.08,2574.28,10,1
27.17,268.28,7,1
10.86,2051.44,7,1
9.53,1046.68,8,1
9.46,300.14,5,1
12.54,2559.18,3,0
1.34,1504.62,3,1
7.26,1988.36,6,1
13.61,474.4,3,0
26.75,1032.98,5,1
11.97,58.05,5,1
8.37,812.3,5,1
23,525.38,3,0
19.93,2093.38,3,0
15.59,2252.02,9,1
8.9,1651.78,5,1
29.99,248.95,4,0
21.04,859.14,9,1
6,1062.1,6,1
8.98,968.92,5,1
13.24,4403.79,2,1
20.25,1448.34,5,1
2.64,894.07,4,1
11.55,2903.12,9,1
3.58,521.3,4,1
12.37,370.75,6,1
19.75,955.56,1,0
16.33,4263.22,6,1
6.88,1458.46,1,0
18.73,2810.69,7,1
15.64,469.08,2,1
8.15,1559.26,4,1
25.77,872.14,6,1
3.75,501.91,4,1
8.03,1353.17,7,1
20.24,1327.71,9,1
10.99,1093.76,7,1
8.68,1300.95,6,1
9.32,1246.73,5,1
5.1,441.02,8,1
17.51,297.49,7,1
15.53,3782.73,7,1
8.11,1611.67,7,1
10.7,1226.43,6,1
11.66,1742.09,6,1
12.09,1383.18,2,0
12.1,2176.33,1,1
5.7,4660.99,5,1
25.39,850.67,2,0
21.5,1999.32,2,0
17.14,1276.07,6,1
22.17,358.53,8,1
12.56,52.04,6,1
24.63,855,2,0
24.06,287.3,4,1
16.05,2504.07,7,1
11.76,1971.54,3,0
13.59,1038.55,2,1
10.32,1002.62,8,1
16.16,3097.04,2,0
2.86,1883.55,7,1
14.11,1174.26,7,1
13.68,2947.94,3,0
1.77,1979.21,5,1
12.9,1356.44,5,1
6.18,1191.31,6,1
7.18,2126.46,7,1
7.3,1255.82,7,1
14.12,180.92,5,1
23.87,422.67,9,1
12.01,1322.04,4,0
25.23,945.79,3,0
6.19,1800.67,8,1
19.91,1829.52,6,1
13.04,1242.5,3,1
3.27,4388.91,7,1
8.69,994.37,3,1
19.56,1449.08,4,0
3.9,857.4,4,1
3.67,2402.99,4,1
16.25,1252.62,5,1
11.9,1902.77,6,1
12.58,3316.85,8,1
6.43,351.07,6,1
6.16,2466.98,3,0
10.33,603.26,8,1
12.27,1172.8,5,0
14.48,3620.3,9,1
16.49,1038.81,8,1
19.95,5000,5,0
9.69,1872.32,7,1
7.96,412.75,2,1
12.17,392.09,2,0
11.32,2423.86,5,1
16.81,1185.07,3,1
2.44,378.74,7,1
15.41,1259.55,2,1
11.99,3021.56,1,0
16.53,1899.65,5,1
7.31,2016.38,7,1
27.4,4660.4,3,0
3.8,1463.23,8,1
18.28,660.44,9,1
15.6,577.27,5,1
9.01,596.09,6,1
4.12,1079.66,6,1
20.41,171.19,4,1
6.68,1078.87,4,1
16.82,3867.77,6,1
1.32,650.38,2,1
24.8,938.45,5,1
8.98,1386.98,3,1
24.88,340.35,5,1
12.64,4898.26,9,1
8.02,1176.65,4,1
4.34,3132.58,6,1
9.4,1134.75,8,1
23.74,1765.96,5,1
26.91,942.34,8,1
23.92,3743.29,3,0
13.85,2816.91,1,0
10.01,583.36,4,1
16.49,515.22,2,0
14.65,1164.16,2,0
26.92,2569.77,6,1
1.09,866.17,4,1
3.49,755.19,4,1
16.17,584.29,4,1
3.85,752.18,3,1
1.46,415.55,4,1
4.51,498.94,4,1
16.52,1843.67,5,1
19.82,981.82,5,1
8.23,482.28,8,1
4.76,1165.3,7,1
11.48,1555.07,3,1
28.29,1034.3,4,0
1.74,1883.84,2,1
4.75,2907.58,3,1
6.17,1910.73,5,1
7.59,433.58,1,1
14.3,3335.2,1,0
8.99,4152.95,4,1
11.9,3878.72,8,1
11.79,2049.53,7,1
11.65,2934.76,4,1
8.54,1430.42,4,1
13.55,240.8,6,1
5.58,2363.99,2,1
19.14,2034.79,4,0
18.96,2697.83,6,0
2.35,896.44,3,1
9.24,2874.89,5,1
22.95,1998.79,5,1
28.96,245.23,4,1
1.5,2280.58,5,1
14.61,544.32,3,0
17.62,2678.39,1,0
20.74,1981.62,5,1
3.29,1466.83,3,1
7.13,2867.22,4,0
11.57,1958.12,5,1
11.85,1928.14,5,1
14.13,348.63,1,0
24.5,1047.27,2,0
15.71,1701.31,3,1
12.26,2795.69,9,1
29.34,3626.24,7,0
26.27,1122.94,4,1
9.28,2555.98,2,0
20.47,324.58,8,1
15.68,2561.25,9,1
15.24,1436.75,7,1
10.99,646.19,9,1
12.45,2069.96,6,1
17.77,3032.1,3,0
30.23,2462.25,4,0
13.91,1190.87,4,1
2.82,1412.01,5,1
11.77,1149.63,6,1
19.54,486.16,4,1
17.37,3682.56,5,1
10.3,302.54,3,1
6.02,1010.59,5,1
7.99,608.51,4,1
24.88,2865.37,4,0
15.59,4785.59,10,1
11.68,938.48,4,1
6.24,2090.39,2,1
21.58,860.16,5,1
14.17,408.88,1,0
10.87,1258.8,6,1
13.96,5000,6,0
4.65,1042.32,4,1
11.44,3878.1,7,1
6.65,2492.84,9,1
12.41,686.47,3,1
10.54,2118.99,8,1
23.24,1752.82,9,1
6.69,1234.26,1,0
2.16,1544.73,5,1
1.61,725.32,5,1
22.11,2537.79,6,1
1.89,1155.21,1,0
19.7,1646.64,9,1
14.03,557.37,6,1
